time_period,ref_area,freq,measure,unit_measure,activity,adjustment,transformation,time_horiz,methodology,obs_value,unit_mult,decimals,obs_status
1999-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,97.49554,0,2,A
1999-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,97.97245,0,2,A
1999-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.45625,0,2,A
1999-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.09055,0,2,A
1999-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.99833,0,2,A
1999-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1523,0,2,A
1999-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.4716,0,2,A
1999-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.8424,0,2,A
2000-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,105.0956,0,2,A
2000-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,106.0826,0,2,A
2000-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,106.64,0,2,A
2000-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,106.7303,0,2,A
2000-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,106.4729,0,2,A
2000-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,105.9932,0,2,A
2000-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,105.3557,0,2,A
2000-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,104.529,0,2,A
2000-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.4093,0,2,A
2000-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.8828,0,2,A
2000-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.9034,0,2,A
2000-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,97.60521,0,2,A
2001-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,95.28155,0,2,A
2001-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,93.23051,0,2,A
2001-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,91.84393,0,2,A
2001-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,91.40551,0,2,A
2001-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,91.74366,0,2,A
2001-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,92.43601,0,2,A
2001-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,93.21995,0,2,A
2001-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,94.01144,0,2,A
2001-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,94.79879,0,2,A
2001-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,95.68153,0,2,A
2001-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,96.71011,0,2,A
2001-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,97.73477,0,2,A
2002-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.64494,0,2,A
2002-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.33875,0,2,A
2002-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.80251,0,2,A
2002-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.0047,0,2,A
2002-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.96346,0,2,A
2002-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.75669,0,2,A
2002-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.56563,0,2,A
2002-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.49792,0,2,A
2002-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.56782,0,2,A
2002-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.74664,0,2,A
2002-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.84761,0,2,A
2002-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.70107,0,2,A
2003-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.32378,0,2,A
2003-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.87942,0,2,A
2003-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.5982,0,2,A
2003-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.64988,0,2,A
2003-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.01435,0,2,A
2003-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.55727,0,2,A
2003-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.1685,0,2,A
2003-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.8134,0,2,A
2003-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.4564,0,2,A
2003-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.0502,0,2,A
2003-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.4773,0,2,A
2003-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.6586,0,2,A
2004-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.5797,0,2,A
2004-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.3199,0,2,A
2004-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.9492,0,2,A
2004-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.5742,0,2,A
2004-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.2727,0,2,A
2004-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1143,0,2,A
2004-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1229,0,2,A
2004-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.2778,0,2,A
2004-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.544,0,2,A
